Name,Description(short_description),Version / Baseline,Directorate,Status,Access Type,Geo Restriction,Product Types,Heritage,Constellations,Landing Page URL,Dissemination mode,Data Policy URL,Creation year,Publication Year,File Format,Owned by,Deputy Owner,Collection,Dataset,Campaign,EarthOnline page requested,Authors,Creators,Publisher,Language
GRACE_x_MAG,Magnetic measurements derived from GRACE platform magnetometers,0,D/EOP,Available,External Data,World Wide,"GRACE_A_MAG, GRACE_B_MAG",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/GRACE_x_MAG,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2022,2022,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Technical University of Denmark,European Space Agency,European Space Agency,en
SW_MCO_SHA_2Y,"Model of the core field, related to SW_CFW_SHA_2Y",0,D/EOP,Available,External Data,World Wide,SW_MCO_SHA_2Y,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MCO_SHA_2Y,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2022,2022,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Institut de physique du globe de Paris,European Space Agency,European Space Agency,en
SW_MMA_SHA_2C,Timeseries of spherical harmonic expansion coefficients of the large-scale magnetospheric field from the comprehensive inversion chain,0,D/EOP,Available,External Data,World Wide,SW_MMA_SHA_2C,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MMA_SHA_2C,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2015,2015,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Technical University of Denmark,European Space Agency,European Space Agency,en
SW_AEJxPBS_2F,Auroral electrojets peaks and boundaries from SECS,0,D/EOP,Available,External Data,World Wide,"SW_AEJAPBS_2F, SW_AEJBPBS_2F, SW_AEJCPBS_2F",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_AEJxPBS_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2020,2020,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Finnish Meteorological Institute,European Space Agency,European Space Agency,en
GF_WNDxACC_2_,Thermosphere crosswind at the GRACE-FO satellite locations,0,D/EOP,Available,External Data,World Wide,GF_WND1ACC_2_,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/GF_WNDxACC_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2024,2024,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Delft University of Technology,European Space Agency,European Space Agency,en
SW_MLI_SHA_2E,"Final map of the lithospheric field from the Revised Spherical Cap Harmonic analysis (R-SCHA) Dedicated Lithospheric Inversion, expressed in terms of high degree Spherical Harmonics",0,D/EOP,Available,External Data,World Wide,SW_MLI_SHA_2E,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MLI_SHA_2E,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2020,2020,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Institut de physique du globe de Paris,European Space Agency,European Space Agency,en
SW_GPSxNAV_1B,On-board GPSR navigational solution,0,D/EOP,Available,External Data,World Wide,"SW_GPSANAV_1B, SW_GPSBNAV_1B, SW_GPSCNAV_1B",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_GPSxNAV_1B,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2013,2013,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
SW_VOBS_4M_2_,"Four-monthly time series of vector magnetic field values at fixed locations, on a uniform grid at satellite altitude",0,D/EOP,Available,External Data,World Wide,SW_VOBS_4M_2_,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_VOBS_4M_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2021,2021,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,British Geological Survey,European Space Agency,European Space Agency,en
SW_MITxTEC_2F,Midlatitude Ionospheric Trough Boundaries and Minima derived from TEC,0,D/EOP,Available,External Data,World Wide,"SW_MITATEC_2F, SW_MITBTEC_2F, SW_MITCTEC_2F",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MITxTEC_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2021,2021,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,GFZ Helmholtz Centre for Geosciences,European Space Agency,European Space Agency,en
SW_MCO_SHA_2C,Spherical harmonic model of the main (core) field and its temporal variation derived in Comprehensive Inversion chain,0,D/EOP,Available,External Data,World Wide,SW_MCO_SHA_2C,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MCO_SHA_2C,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2015,2015,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Technical University of Denmark,European Space Agency,European Space Agency,en
